DATA_FILE, n, d, k, p:
../artificial/data/10000_2_05.txt 10000 2 2 20
ANTICLUSTERING_REP: 100

ANTICLUSTERING_THREADS: 1

PARTITION_THREADS: 1
BRANCH_AND_BOUND_TOL: 0.0001
BRANCH_AND_BOUND_PARALLEL: 1
BRANCH_AND_BOUND_MAX_NODES: 1
BRANCH_AND_BOUND_VISITING_STRATEGY: 0

SDP_SOLVER_SESSION_THREADS_ROOT: 2
SDP_SOLVER_SESSION_THREADS: 1
SDP_SOLVER_FOLDER: /home/aelle/mr-sos-sdp/SDPNAL
SDP_SOLVER_TOL: 0.0001
SDP_SOLVER_VERBOSE: 0
SDP_SOLVER_MAX_CP_ITER_ROOT: 80
SDP_SOLVER_MAX_CP_ITER: 40
SDP_SOLVER_CP_TOL: 0.0001
SDP_SOLVER_MAX_INEQ: 100000
SDP_SOLVER_INHERIT_PERC: 1
SDP_SOLVER_EPS_INEQ: 0.0001
SDP_SOLVER_EPS_ACTIVE: 1e-06
SDP_SOLVER_MAX_PAIR_INEQ: 100000
SDP_SOLVER_PAIR_PERC: 0.05
SDP_SOLVER_MAX_TRIANGLE_INEQ: 100000
SDP_SOLVER_TRIANGLE_PERC: 0.1

Initial Heuristic MSS: 4901.20

---------------------------------------------------------------------
Iteration 1
---------------------------------------------------------------------

---------------------------------------------------------------------


Anticlustering Heuristic


Num of swaps 0

iter | k | W | GAP perc
3 | 2 | 4890.01915 | 0.22808
3 | 2 | 4890.13128 | 0.22580
3 | 2 | 4890.15908 | 0.22523
4 | 1 | 4890.18927 | 0.22461
4 | 1 | 4890.23563 | 0.22367
4 | 1 | 4890.25903 | 0.22319
4 | 1 | 4890.41595 | 0.21999
4 | 1 | 4890.44654 | 0.21936
4 | 1 | 4890.47272 | 0.21883
4 | 1 | 4890.48321 | 0.21862
4 | 1 | 4890.48910 | 0.21850
4 | 1 | 4890.50390 | 0.21819
4 | 1 | 4890.69101 | 0.21438
4 | 1 | 4890.70614 | 0.21407
4 | 1 | 4890.77715 | 0.21262
4 | 1 | 4890.84877 | 0.21116
4 | 1 | 4890.85042 | 0.21112
4 | 1 | 4890.85111 | 0.21111
4 | 1 | 4890.89287 | 0.21026
4 | 1 | 4890.91858 | 0.20973
4 | 1 | 4890.94536 | 0.20919
4 | 1 | 4890.97067 | 0.20867
4 | 1 | 4890.98089 | 0.20846
4 | 2 | 4891.00756 | 0.20792
4 | 2 | 4891.03929 | 0.20727
4 | 2 | 4891.03950 | 0.20727
4 | 2 | 4891.12173 | 0.20559
4 | 2 | 4891.18923 | 0.20421
4 | 2 | 4891.20640 | 0.20386
4 | 2 | 4891.21502 | 0.20368
4 | 2 | 4891.30156 | 0.20192
4 | 2 | 4891.31001 | 0.20175
4 | 2 | 4891.31782 | 0.20159
4 | 2 | 4891.37688 | 0.20038
4 | 2 | 4891.56902 | 0.19646
4 | 2 | 4891.58046 | 0.19623
4 | 2 | 4891.59095 | 0.19601
4 | 2 | 4891.61531 | 0.19552
4 | 2 | 4891.68854 | 0.19402
4 | 2 | 4891.81887 | 0.19136
4 | 2 | 4891.85125 | 0.19070
4 | 2 | 4891.86691 | 0.19038
4 | 2 | 4891.93608 | 0.18897
5 | 1 | 4891.93610 | 0.18897
5 | 1 | 4891.93615 | 0.18897
5 | 1 | 4891.96877 | 0.18831
5 | 1 | 4891.97939 | 0.18809
5 | 1 | 4892.01739 | 0.18731
5 | 1 | 4892.02962 | 0.18706
5 | 1 | 4892.04201 | 0.18681
5 | 1 | 4892.06433 | 0.18636
5 | 1 | 4892.07161 | 0.18621
5 | 1 | 4892.08521 | 0.18593
5 | 1 | 4892.21680 | 0.18324
5 | 1 | 4892.22347 | 0.18311
5 | 1 | 4892.33479 | 0.18084
5 | 1 | 4892.34406 | 0.18065
5 | 1 | 4892.36257 | 0.18027
5 | 1 | 4892.39475 | 0.17961
5 | 1 | 4892.49857 | 0.17750
5 | 1 | 4892.52759 | 0.17690
5 | 1 | 4892.54984 | 0.17645
5 | 1 | 4892.55894 | 0.17626
5 | 2 | 4892.58386 | 0.17576
5 | 2 | 4892.60419 | 0.17534
5 | 2 | 4892.62806 | 0.17485
5 | 2 | 4892.71833 | 0.17301
5 | 2 | 4892.77248 | 0.17191
5 | 2 | 4892.80786 | 0.17119
5 | 2 | 4892.80807 | 0.17118
5 | 2 | 4892.81409 | 0.17106
5 | 2 | 4892.86315 | 0.17006
5 | 2 | 4892.86724 | 0.16997
5 | 2 | 4892.90108 | 0.16928
5 | 2 | 4892.96611 | 0.16796
5 | 2 | 4892.98227 | 0.16763
